col_0,col_1,Purpose of construction,col_3,col_4,col_5,Design type,col_7,Square feet of floor area,col_9,col_10,Purpose of construction.1,col_12,Number of units in building,col_14,col_15,col_16,Square feet per unit,col_18
1999,1302,912,856,208,142,1175,127,2025,2248,339,69,270,32,53,94,159,1054,1127
2000,1231,871,817,195,128,1105,126,2079,2306,338,75,263,39,43,81,175,1091,1171
2001,1273,919,862,186,129,1133,140,2102,2310,329,71,258,37,38,76,178,1094,1193
2002,1359,999,924,198,125,1198,160,2115,2320,346,71,275,38,48,77,183,1092,1186
2003,1499,1120,1038,205,127,1309,190,2127,2343,349,87,262,33,43,76,196,1108,1190
2004,1611,1240,1130,198,130,1397,213,2160,2384,345,120,225,42,40,71,192,1159,1243
2005,1716,1358,1239,197,129,1494,222,2245,2462,352,150,203,41,46,58,208,1180,1288
2006,1465,1121,1041,189,119,1264,201,2259,2492,336,151,185,43,37,49,206,1192,1291
2007,1046,760,702,151,104,900,146,2230,2507,309,115,194,32,26,45,207,1134,1263
2008,622,408,379,107,74,535,87,2174,2463,284,64,220,18,20,37,209,1089,1164
2009,445,297,280,83,51,401,44,2103,2367,109,17,92,12,8,17,72,1124,1167
2010,471,306,285,83,55,413,58,2151,2382,116,15,101,11,10,14,80,1137,1179
2011,431,287,270,74,47,384,47,2267,2504,178,16,162,11,10,28,129,1093,1133
2012,535,373,352,82,47,469,67,2310,2521,245,21,225,11,13,41,180,1051,1126
2013,618,457,430,91,45,549,68,2460,2669,307,22,285,14,15,32,247,1099,1169
2014,648,460,437,110,50,576,72,2451,2675,355,27,328,14,18,35,289,1087,1162
2015,715,526,506,109,50,629,86,2466,2689,397,26,372,12,19,34,333,1066,1152
2016,782,579,562,116,49,683,98,2423,2624,392,28,364,11,17,37,327,1105,1171
2017,849,635,612,116,55,743,106,2385,2599,354,23,331,11,15,32,296,1105,1157
2018,876,660,636,119,51,755,121,2355,2559,374,25,349,14,18,36,306,1082,1123
2019,888,669,648,124,55,777,111,2271,2498,402,24,378,13,15,30,344,1076,1115
2020,990,764,740,123,53,876,114,2265,2473,389,17,373,12,12,27,338,1030,1074
2021,1127,868,829,140,59,980,148,2303,2532,474,27,446,12,15,30,417,1000,1040
2022,1005,720,690,146,58,854,151,2269,2485,547,23,524,16,32,31,467,1009,1063
,,,,,,,,,,,,,,,,,,
 A  Represents an RSE that is greater than or equal to 100 or could not be computed.,,,,,,,,,,,,,,,,,,
NA Not available.,,,,,,,,,,,,,,,,,,
"S   Withheld because estimate did not meet publication standards on the basis of response rate, associated standard error, or a consistency review.",,,,,,,,,,,,,,,,,,
Z  Less than 500 units.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
1 Single-family estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for structures started in permit-issuing areas without permit authorization.,,,,,,,,,,,,,,,,,,
2 Includes one-family units built for rent that are not shown separately by purpose of construction.,,,,,,,,,,,,,,,,,,
"3 Ownership of the entire property is acquired, both land and improvements, not a condominium or cooperative ownership.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Notes: Housing units for which purpose of construction or design type was not reported have been distributed proportionally to those for which the information was reported.,,,,,,,,,,,,,,,,,,
Quarterly estimates may not add to the annual figures as the latter include late reports and corrections.,,,,,,,,,,,,,,,,,,
